[2026-03-17T11:58:06.048Z] [SERVER] [INFO] Expanding genre: Soundtrack | Data: {"likedArtists":0,"likedGenres":0,"skipped":0,"engaged":0}
[2026-03-17T11:58:07.013Z] [SERVER] [INFO] AI Decision Logic | Data: {"reasoning":"Because the current track is a soundtrack, I chose core artists like Hans Zimmer, Thomas Newman, John Williams, and Howard Shore who are known for their iconic soundtracks, added Ludovico Einaudi as an adjacent discovery for his beautiful and emotive scores, and Daft Punk as a wildcard for their electronic soundtracks in films like Tron: Legacy","suggestions":["Hans Zimmer","Thomas Newman","John Williams","Howard Shore","Ludovico Einaudi","Daft Punk"]}
[2026-03-17T11:58:07.905Z] [CLIENT] [INFO] Discovery Batch Injected: 12 tracks | Data: {"artists":["Hans Zimmer","Hans Zimmer","Thomas Newman","Thomas Newman","John Williams","John Williams & London Symphony Orchestra","Howard Shore","Howard Shore","Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani","Ludovico Einaudi","Daft Punk","Daft Punk, Pharrell Williams & Nile Rodgers"],"reasoning":"Because the current track is a soundtrack, I chose core artists like Hans Zimmer, Thomas Newman, John Williams, and Howard Shore who are known for their iconic soundtracks, added Ludovico Einaudi as an adjacent discovery for his beautiful and emotive scores, and Daft Punk as a wildcard for their electronic soundtracks in films like Tron: Legacy"}
[2026-03-17T11:58:33.364Z] [CLIENT] [INFO] Track Finished: "Lose Yourself" | Data: {"artist":"Eminem","duration":"27.2s / 30.0s","ratio":"91%","outcome":"COMPLETED ✅"}
[2026-03-17T11:58:55.684Z] [SERVER] [INFO] Expanding genre: Hip-Hop/Rap | Data: {"likedArtists":0,"likedGenres":0,"skipped":0,"engaged":0}
[2026-03-17T11:58:56.431Z] [SERVER] [INFO] AI Decision Logic | Data: {"reasoning":"Because the current track is Hip-Hop/Rap, I chose core matches like Kendrick Lamar, J. Cole, Logic, and Travis Scott, added an adjacent discovery with A$AP Rocky, and a wildcard with Anderson .Paak to introduce a blend of hip-hop and R&B","suggestions":["Kendrick Lamar","J. Cole","Logic","Travis Scott","A$AP Rocky","Anderson .Paak"]}
[2026-03-17T11:58:57.018Z] [CLIENT] [INFO] Discovery Batch Injected: 12 tracks | Data: {"artists":["Kendrick Lamar","Kendrick Lamar","J. Cole","J. Cole","Logic","Logic","Travis Scott","Travis Scott","Selena Gomez","Selena Gomez","Silk Sonic, Bruno Mars & Anderson .Paak","Silk Sonic, Bruno Mars & Anderson .Paak"],"reasoning":"Because the current track is Hip-Hop/Rap, I chose core matches like Kendrick Lamar, J. Cole, Logic, and Travis Scott, added an adjacent discovery with A$AP Rocky, and a wildcard with Anderson .Paak to introduce a blend of hip-hop and R&B"}
[2026-03-17T11:59:27.324Z] [CLIENT] [INFO] Track Finished: "USE THIS GOSPEL (feat. Kanye West & Eminem) [REMIX]" | Data: {"artist":"DJ Khaled","duration":"30.0s / 30.0s","ratio":"100%","outcome":"COMPLETED ✅"}
[2026-03-17T11:59:58.597Z] [CLIENT] [INFO] Track Finished: "luther" | Data: {"artist":"Kendrick Lamar","duration":"30.0s / 30.0s","ratio":"100%","outcome":"COMPLETED ✅"}
[2026-03-17T12:01:02.092Z] [SERVER] [INFO] Expanding genre: Soundtrack | Data: {"likedArtists":15,"likedGenres":8,"skipped":0,"engaged":0}
[2026-03-17T12:01:02.929Z] [SERVER] [INFO] AI Decision Logic | Data: {"reasoning":"Because you like Alternative, Rock, and Soundtrack, I chose core matches like The Killers, Halestorm, The Black Keys, and Avril Lavigne, added adjacent discovery Lindsey Stirling who blends Rock with orchestral elements, and wildcard Andra Day who brings a Soulful voice, all while avoiding skipped genres and your liked artists","suggestions":["The Killers","Halestorm","The Black Keys","Avril Lavigne","Lindsey Stirling","Andra Day"]}
[2026-03-17T12:01:03.789Z] [CLIENT] [INFO] Discovery Batch Injected: 12 tracks | Data: {"artists":["The Killers","The Killers","Halestorm","Halestorm","The Black Keys","The Black Keys","Avril Lavigne","Avril Lavigne","Lindsey Stirling","Lindsey Stirling","Andra Day","Andra Day"],"reasoning":"Because you like Alternative, Rock, and Soundtrack, I chose core matches like The Killers, Halestorm, The Black Keys, and Avril Lavigne, added adjacent discovery Lindsey Stirling who blends Rock with orchestral elements, and wildcard Andra Day who brings a Soulful voice, all while avoiding skipped genres and your liked artists"}
[2026-03-17T12:01:30.760Z] [CLIENT] [INFO] Track Finished: "Lose Yourself" | Data: {"artist":"Eminem","duration":"30.0s / 30.0s","ratio":"100%","outcome":"COMPLETED ✅"}
[2026-03-17T12:02:00.865Z] [CLIENT] [INFO] Track Finished: "Mr. Brightside" | Data: {"artist":"The Killers","duration":"30.0s / 30.0s","ratio":"100%","outcome":"COMPLETED ✅"}
